ConvertedCompYearly,Country,LearnCode,DevType
8088.0,Paraguay,Online forum and resources,Mobile Developer
77556.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Mobile Developer
11616.0,India,School,Mobile Developer
2568.0,Cameroon,Online forum and resources,Front-End Developer
22452.0,Dominican Republic,Coding Bootcamp,Developer_ desktop or enterprise applications
91484.0,Switzerland,Online forum and resources,Back-End Developer
122796.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Engineer_ data
43980.0,Brazil,"Colleague, friend or family",Fullstack Developer
49092.0,Sweden,School,Front-End Developer
20436.0,Argentina,Online forum and resources,Mobile Developer
61368.0,Sweden,Online forum and resources,Engineer_ data
6036.0,India,Online Courses or Certification,Fullstack Developer
,United States of America,Online forum and resources,Developer_ embedded applications or devices
,United States of America,School,Front-End Developer
,Germany,Online forum and resources,Mobile Developer
,Singapore,School,Engineer_ data
92052.0,United Kingdom of Great Britain and Northern Ireland,Other,DevOps specialist
140088.0,Israel,Online Courses or Certification,Back-End Developer
60000.0,"Iran, Islamic Republic of...",Online Courses or Certification,Mobile Developer
130000.0,United States of America,Online forum and resources,Fullstack Developer
64630.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
5496.0,Brazil,Online forum and resources,Fullstack Developer
29892.0,The former Yugoslav Republic of Macedonia,Online forum and resources,Mobile Developer
55000.0,United States of America,Online forum and resources,Mobile Developer
51704.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Engineer_ data
,Bulgaria,Online forum and resources,Front-End Developer
45379.0,Canada,School,Fullstack Developer
180000.0,United States of America,Online forum and resources,Engineering manager
,Spain,Online forum and resources,Fullstack Developer
,Nepal,Online forum and resources,Fullstack Developer
61176.0,Ukraine,Online forum and resources,Front-End Developer
,United Kingdom of Great Britain and Northern Ireland,School,Mobile Developer
15358.0,India,Coding Bootcamp,Front-End Developer
72048.0,South Africa,Online forum and resources,Fullstack Developer
64860.0,Montenegro,Coding Bootcamp,Mobile Developer
81074.0,Germany,Online forum and resources,Fullstack Developer
145000.0,United States of America,Books / Physical media,Fullstack Developer
56460.0,Sweden,Online forum and resources,Front-End Developer
43239.0,Germany,Books / Physical media,Front-End Developer
47563.0,Malta,School,Back-End Developer
,Morocco,Online forum and resources,Front-End Developer
,Canada,School,Academic researcher
77831.0,Germany,School,Back-End Developer
1224.0,Nigeria,Online forum and resources,Mobile Developer
102501.0,Norway,"Colleague, friend or family",Fullstack Developer
76056.0,South Africa,Coding Bootcamp,Fullstack Developer
86478.0,Ireland,Other,Front-End Developer
39492.0,Poland,Online forum and resources,Developer_ QA or test
70000.0,United States of America,School,Data Scientist
,India,Online forum and resources,Mobile Developer
56211.0,Netherlands,School,Back-End Developer
115000.0,United States of America,Online forum and resources,Front-End Developer
13188.0,Sri Lanka,Online forum and resources,DevOps specialist
75669.0,Ireland,School,Back-End Developer
,India,Online Courses or Certification,System administrator
14820.0,Dominican Republic,Online forum and resources,Front-End Developer
109871.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
135000.0,United States of America,School,Fullstack Developer
10800.0,Ecuador,Online forum and resources,Mobile Developer
64860.0,Sweden,Coding Bootcamp,Front-End Developer
73187.0,Switzerland,Online forum and resources,Fullstack Developer
,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
64859.0,Portugal,Online forum and resources,Back-End Developer
145000.0,United States of America,Books / Physical media,Engineering manager
32988.0,Brazil,Online forum and resources,Mobile Developer
,Australia,Online forum and resources,Back-End Developer
,Germany,Coding Bootcamp,Data Scientist
25131.0,India,Online forum and resources,Fullstack Developer
60.0,Saudi Arabia,Other,Developer_ desktop or enterprise applications
18756.0,Brazil,Books / Physical media,Fullstack Developer
,India,Online forum and resources,Fullstack Developer
175000.0,United States of America,Online forum and resources,Front-End Developer
68824.0,Canada,Online forum and resources,Mobile Developer
9888.0,Sri Lanka,Online forum and resources,Mobile Developer
,France,School,Front-End Developer
,India,"Colleague, friend or family",Developer_ embedded applications or devices
129718.0,Netherlands,Coding Bootcamp,Mobile Developer
,Spain,Coding Bootcamp,Front-End Developer
,India,Online forum and resources,Mobile Developer
4128.0,Brazil,Online forum and resources,Front-End Developer
,France,Online forum and resources,Mobile Developer
12000.0,Russian Federation,Online forum and resources,Fullstack Developer
42528.0,Poland,Online forum and resources,Fullstack Developer
,"Iran, Islamic Republic of...",Online forum and resources,Fullstack Developer
12624.0,Tunisia,Online forum and resources,Product Manager
110000.0,United States of America,Books / Physical media,DevOps specialist
,Chile,Online forum and resources,Mobile Developer
24648.0,Slovakia,School,Front-End Developer
,Russian Federation,Online forum and resources,Mobile Developer
84408.0,Denmark,Online forum and resources,Fullstack Developer
,Italy,"Colleague, friend or family",Product Manager
201648.0,United Kingdom of Great Britain and Northern Ireland,"Colleague, friend or family",Front-End Developer
86976.0,Canada,Books / Physical media,Front-End Developer
51888.0,Lithuania,Coding Bootcamp,Back-End Developer
103000.0,United States of America,Online forum and resources,Back-End Developer
41364.0,South Africa,School,Fullstack Developer
17508.0,Italy,School,Front-End Developer
85634.0,United Kingdom of Great Britain and Northern Ireland,Coding Bootcamp,Fullstack Developer
,Canada,Online forum and resources,DevOps specialist
,Germany,Books / Physical media,Developer_ desktop or enterprise applications
115000.0,United States of America,Online forum and resources,Fullstack Developer
237816.0,Germany,Online forum and resources,Database administrator
30240.0,Brazil,Online forum and resources,Fullstack Developer
51336.0,Poland,School,Back-End Developer
15780.0,Turkey,Online forum and resources,Fullstack Developer
35028.0,Netherlands,Online forum and resources,Fullstack Developer
109871.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Data Scientist
17316.0,Brazil,Online forum and resources,Developer_ desktop or enterprise applications
4128.0,Brazil,School,Back-End Developer
276444.0,India,Online forum and resources,Fullstack Developer
56723.0,Canada,School,Front-End Developer
140550.0,Germany,Books / Physical media,Fullstack Developer
7524.0,Chile,"Colleague, friend or family",Back-End Developer
,Mexico,Online forum and resources,Mobile Developer
6600.0,"Venezuela, Bolivarian Republic of...",Online forum and resources,Mobile Developer
95000.0,United States of America,School,Developer_ desktop or enterprise applications
7884.0,Turkey,Online forum and resources,Mobile Developer
21641.0,India,Online forum and resources,Fullstack Developer
,France,Online forum and resources,Back-End Developer
100000.0,United States of America,Online forum and resources,Developer_ embedded applications or devices
14256.0,"Iran, Islamic Republic of...",Online forum and resources,Mobile Developer
180000.0,United States of America,School,Back-End Developer
95000.0,United States of America,"Colleague, friend or family",Back-End Developer
55847.0,India,"Colleague, friend or family",Back-End Developer
21372.0,Brazil,School,Fullstack Developer
251316.0,India,Online forum and resources,Front-End Developer
6300000.0,United States of America,Online forum and resources,Front-End Developer
260000.0,United States of America,School,Engineering manager
,India,Online forum and resources,Mobile Developer
,Poland,Online forum and resources,Mobile Developer
14939.0,India,Online forum and resources,Front-End Developer
,United States of America,Online forum and resources,Senior Executive (C-Suite_ VP_ etc.)
,India,Other,Back-End Developer
46632.0,Sweden,Online forum and resources,Front-End Developer
,Greece,Online Courses or Certification,Mobile Developer
51888.0,Thailand,Coding Bootcamp,Front-End Developer
118908.0,Belgium,"Colleague, friend or family",Engineering manager
90482.0,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
29051.0,Portugal,School,Mobile Developer
47826.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
,United States of America,School,Data Analyst
95000.0,United States of America,Online forum and resources,Fullstack Developer
44040.0,Ukraine,Other,Fullstack Developer
,Belarus,Coding Bootcamp,Engineer_ data
,Germany,Online forum and resources,Fullstack Developer
60744.0,Poland,Online forum and resources,Mobile Developer
,United States of America,"Colleague, friend or family",Database administrator
163500.0,United States of America,Books / Physical media,Back-End Developer
67215.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Developer_ desktop or enterprise applications
73644.0,Sweden,School,Mobile Developer
96945.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
56040.0,South Africa,Books / Physical media,Front-End Developer
5268.0,Indonesia,Online forum and resources,Back-End Developer
9876.0,Nigeria,Coding Bootcamp,Mobile Developer
,Denmark,School,Senior Executive (C-Suite_ VP_ etc.)
150000.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
18156.0,Portugal,School,Back-End Developer
160000.0,United States of America,Other,Developer_ desktop or enterprise applications
,Bangladesh,Books / Physical media,Mobile Developer
12936.0,Morocco,Coding Bootcamp,Engineering manager
140000.0,United States of America,Online forum and resources,Engineering manager
51887.0,France,School,Back-End Developer
103408.0,United Kingdom of Great Britain and Northern Ireland,Online Courses or Certification,Engineer_ data
108000.0,United States of America,School,Fullstack Developer
45312.0,Slovenia,School,Fullstack Developer
129718.0,Germany,Online forum and resources,Back-End Developer
,Serbia,Online forum and resources,Front-End Developer
51888.0,Germany,Books / Physical media,Mobile Developer
,Germany,"Colleague, friend or family",Front-End Developer
15564.0,France,School,Data Scientist
37834.0,Italy,Online forum and resources,Developer_ desktop or enterprise applications
102500.0,United States of America,School,Developer_ desktop or enterprise applications
,Germany,Books / Physical media,Front-End Developer
165000.0,United States of America,Online forum and resources,Mobile Developer
41077.0,France,School,Developer_ desktop or enterprise applications
33607.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Developer_ desktop or enterprise applications
75669.0,Spain,School,Fullstack Developer
55847.0,India,Online forum and resources,Engineering manager
110000.0,United States of America,Online forum and resources,Fullstack Developer
,Germany,Online forum and resources,Front-End Developer
150000.0,United States of America,Coding Bootcamp,Fullstack Developer
93456.0,Brazil,Online forum and resources,Fullstack Developer
94539.0,Canada,Online forum and resources,Back-End Developer
96945.0,United Kingdom of Great Britain and Northern Ireland,Other,Fullstack Developer
38484.0,Brazil,Online Courses or Certification,Fullstack Developer
63778.0,Netherlands,Online forum and resources,Front-End Developer
67452.0,Finland,Online forum and resources,Developer_ desktop or enterprise applications
10471.0,India,Online forum and resources,Mobile Developer
129720.0,Tunisia,Online forum and resources,Fullstack Developer
,Albania,School,Mobile Developer
76000.0,United States of America,Online forum and resources,Back-End Developer
,Germany,School,Fullstack Developer
54049.0,Germany,School,Fullstack Developer
70000.0,United States of America,School,Back-End Developer
23267.0,United Kingdom of Great Britain and Northern Ireland,School,Fullstack Developer
,Pakistan,Online forum and resources,Mobile Developer
13740.0,Brazil,School,Mobile Developer
58368.0,Germany,"Colleague, friend or family",Front-End Developer
59459.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
37620.0,Greece,Other,Front-End Developer
,Ukraine,Online forum and resources,Back-End Developer
85311.0,United Kingdom of Great Britain and Northern Ireland,School,Fullstack Developer
,United States of America,Other,Mobile Developer
,South Africa,School,Mobile Developer
73032.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
88640.0,Germany,School,Back-End Developer
85385.0,Switzerland,Online forum and resources,Front-End Developer
389148.0,Spain,Books / Physical media,Fullstack Developer
76536.0,Belgium,Online forum and resources,Developer_ desktop or enterprise applications
48000.0,United States of America,Online forum and resources,Mobile Developer
,Austria,Online forum and resources,Back-End Developer
25068.0,Colombia,Online forum and resources,Developer_ desktop or enterprise applications
67215.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Back-End Developer
25970.0,Turkey,Online forum and resources,Front-End Developer
91711.0,Norway,School,Back-End Developer
,Czech Republic,Online forum and resources,Engineering manager
143699.0,Canada,Online forum and resources,Engineering manager
,France,Online forum and resources,Academic researcher
49476.0,Brazil,Online forum and resources,Back-End Developer
81074.0,Netherlands,"Colleague, friend or family",Back-End Developer
,Spain,Other,Mobile Developer
,India,Online forum and resources,DevOps specialist
58167.0,United Kingdom of Great Britain and Northern Ireland,School,Developer_ desktop or enterprise applications
13212.0,Serbia,School,Mobile Developer
45384.0,Canada,Online forum and resources,Fullstack Developer
49466.0,Italy,Online forum and resources,Back-End Developer
51888.0,France,Online forum and resources,Fullstack Developer
,China,Coding Bootcamp,Developer_ desktop or enterprise applications
64859.0,Germany,Online forum and resources,Developer_ desktop or enterprise applications
,India,Online forum and resources,Fullstack Developer
,"Iran, Islamic Republic of...",Online forum and resources,Fullstack Developer
51887.0,France,Online forum and resources,Back-End Developer
,Canada,Online forum and resources,Data Scientist
45396.0,Slovenia,Online forum and resources,Fullstack Developer
,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
24433.0,India,Online forum and resources,Front-End Developer
103774.0,Germany,Online forum and resources,Back-End Developer
43239.0,Italy,School,Mobile Developer
101000.0,United States of America,Online forum and resources,Fullstack Developer
612.0,Hong Kong (S.A.R.),Online forum and resources,Front-End Developer
120000.0,United States of America,Coding Bootcamp,Mobile Developer
11400.0,"Iran, Islamic Republic of...",Online forum and resources,Front-End Developer
83889.0,United States of America,School,Mobile Developer
97284.0,Spain,Online forum and resources,Back-End Developer
21996.0,Brazil,School,Front-End Developer
63816.0,Sweden,Coding Bootcamp,Back-End Developer
37816.0,Canada,Online forum and resources,Fullstack Developer
95520.0,Denmark,Online forum and resources,Developer_ desktop or enterprise applications
,United States of America,Online forum and resources,Front-End Developer
,India,Online forum and resources,Front-End Developer
128.0,Germany,School,Back-End Developer
50806.0,Spain,School,Front-End Developer
14256.0,"Iran, Islamic Republic of...",Coding Bootcamp,Back-End Developer
127061.0,Switzerland,"Colleague, friend or family",Back-End Developer
,United States of America,Coding Bootcamp,Front-End Developer
,United Kingdom of Great Britain and Northern Ireland,Online Courses or Certification,Front-End Developer
,Denmark,Other,Fullstack Developer
47000.0,United States of America,Online forum and resources,Mobile Developer
,Germany,Online forum and resources,Front-End Developer
6981.0,India,Coding Bootcamp,Fullstack Developer
41520.0,Russian Federation,Online forum and resources,Front-End Developer
,Greece,School,Fullstack Developer
18156.0,Italy,Online forum and resources,Front-End Developer
467112.0,Italy,Online forum and resources,Fullstack Developer
837600.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
5868.0,India,Coding Bootcamp,Fullstack Developer
77831.0,Netherlands,Online forum and resources,Back-End Developer
30267.0,Malta,Books / Physical media,Back-End Developer
4200.0,Nepal,Online forum and resources,Mobile Developer
60505.0,Canada,Online forum and resources,Back-End Developer
11676.0,Argentina,Online forum and resources,Mobile Developer
19452.0,Pakistan,Online forum and resources,Back-End Developer
7068.0,Bangladesh,Coding Bootcamp,Mobile Developer
15084.0,India,Online forum and resources,Front-End Developer
6702.0,India,School,Developer_ desktop or enterprise applications
24744.0,Brazil,Online forum and resources,Back-End Developer
,Italy,Online forum and resources,Mobile Developer
7200.0,India,Online forum and resources,Mobile Developer
46099.0,Australia,Online forum and resources,Front-End Developer
7679.0,India,Online forum and resources,Fullstack Developer
26340.0,Nigeria,Online forum and resources,Developer_ QA or test
,India,Online Courses or Certification,Front-End Developer
,Slovakia,Online forum and resources,Developer_ desktop or enterprise applications
135100.0,Netherlands,Online forum and resources,Developer_ game or graphics
37752.0,Russian Federation,"Colleague, friend or family",Fullstack Developer
62697.0,Germany,School,Mobile Developer
,Latvia,School,Back-End Developer
43239.0,France,School,Developer_ desktop or enterprise applications
,United States of America,School,Fullstack Developer
60000.0,United States of America,Online forum and resources,Developer_ embedded applications or devices
52000.0,United States of America,School,Fullstack Developer
1815156.0,Canada,School,Fullstack Developer
28308.0,Russian Federation,"Colleague, friend or family",Developer_ QA or test
64860.0,France,School,Front-End Developer
21708.0,Russian Federation,Online forum and resources,Back-End Developer
12972.0,France,Online forum and resources,Front-End Developer
28500.0,"Iran, Islamic Republic of...",Online forum and resources,Mobile Developer
37834.0,Ireland,Online forum and resources,Fullstack Developer
,Tunisia,Online forum and resources,Fullstack Developer
59454.0,Germany,Online forum and resources,Front-End Developer
11040.0,Argentina,Online forum and resources,Front-End Developer
93000.0,United States of America,School,Developer_ embedded applications or devices
33732.0,Germany,Online forum and resources,Front-End Developer
21620.0,Italy,Online forum and resources,Fullstack Developer
,Turkey,Online Courses or Certification,Mobile Developer
19452.0,Italy,Online forum and resources,Back-End Developer
,Spain,School,Senior Executive (C-Suite_ VP_ etc.)
45401.0,France,Online forum and resources,Front-End Developer
,Hong Kong (S.A.R.),Coding Bootcamp,Mobile Developer
79413.0,Canada,School,Fullstack Developer
3852.0,India,Online forum and resources,Mobile Developer
,Malaysia,Online forum and resources,Front-End Developer
3351.0,India,School,Fullstack Developer
,India,School,Front-End Developer
,India,Online forum and resources,Developer_ desktop or enterprise applications
19458.0,Greece,Online forum and resources,Fullstack Developer
,India,Online forum and resources,Front-End Developer
,United States of America,School,Fullstack Developer
75000.0,United States of America,Coding Bootcamp,Fullstack Developer
36193.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
20400.0,Mexico,Coding Bootcamp,Mobile Developer
,Germany,School,Engineer_ data
35028.0,Austria,Online forum and resources,Front-End Developer
,Saudi Arabia,Online forum and resources,Back-End Developer
,Netherlands,School,Front-End Developer
49160.0,Canada,Online forum and resources,Fullstack Developer
43200.0,Ukraine,Online forum and resources,Back-End Developer
27492.0,Brazil,Online forum and resources,Fullstack Developer
57804.0,India,Online forum and resources,Back-End Developer
73000.0,United States of America,Online forum and resources,Front-End Developer
72000.0,Belarus,School,Back-End Developer
7788.0,Germany,Online forum and resources,Developer_ embedded applications or devices
88640.0,Germany,School,Fullstack Developer
,Nepal,Online forum and resources,Fullstack Developer
50436.0,Uruguay,Other,Fullstack Developer
37620.0,Greece,Online forum and resources,Developer_ desktop or enterprise applications
10995.0,Brazil,Online Courses or Certification,Front-End Developer
,Turkey,Books / Physical media,Academic researcher
64859.0,Italy,Books / Physical media,Developer_ desktop or enterprise applications
,Spain,School,Fullstack Developer
27096.0,Chile,Online forum and resources,Front-End Developer
37834.0,France,Online forum and resources,Developer_ desktop or enterprise applications
69960.0,Sweden,Books / Physical media,Back-End Developer
22584.0,Chile,Coding Bootcamp,Engineering manager
23532.0,Poland,Online forum and resources,Front-End Developer
22701.0,Spain,"Colleague, friend or family",Developer_ QA or test
,India,Online forum and resources,Fullstack Developer
55847.0,India,Online forum and resources,Engineering manager
3420.0,"Iran, Islamic Republic of...",Online forum and resources,Fullstack Developer
103932.0,Czech Republic,Online forum and resources,Mobile Developer
62352.0,Czech Republic,School,Front-End Developer
42372.0,Colombia,Online Courses or Certification,Front-End Developer
99000.0,United States of America,School,Fullstack Developer
,Qatar,Online forum and resources,Front-End Developer
,India,Coding Bootcamp,Back-End Developer
90758.0,Canada,Online forum and resources,Mobile Developer
,"Iran, Islamic Republic of...","Colleague, friend or family",Product Manager
57292.0,Portugal,School,Back-End Developer
300000.0,United States of America,Online forum and resources,Engineer_ data
103408.0,United Kingdom of Great Britain and Northern Ireland,School,Engineering manager
70000.0,United States of America,School,Fullstack Developer
15079.0,India,School,Fullstack Developer
37104.0,Brazil,Online forum and resources,Front-End Developer
21762.0,Brazil,Online forum and resources,Mobile Developer
,Indonesia,School,Mobile Developer
120000.0,United States of America,Books / Physical media,DevOps specialist
41885.0,India,Online forum and resources,Mobile Developer
140000.0,United States of America,Other,Front-End Developer
10092.0,Nepal,School,Back-End Developer
45564.0,Poland,Other,Senior Executive (C-Suite_ VP_ etc.)
30000.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
113000.0,United States of America,Other,Back-End Developer
6876.0,Brazil,Books / Physical media,Developer_ desktop or enterprise applications
,El Salvador,Online forum and resources,Developer_ desktop or enterprise applications
125000.0,United States of America,Books / Physical media,Engineer_ data
7692.0,Brazil,School,Mobile Developer
75669.0,Netherlands,Online forum and resources,Senior Executive (C-Suite_ VP_ etc.)
32429.0,Spain,"Colleague, friend or family",Engineer_ data
80000.0,United States of America,Online forum and resources,Front-End Developer
104208.0,Denmark,Online forum and resources,Front-End Developer
,United States of America,Books / Physical media,Mobile Developer
50988.0,Hungary,Online forum and resources,Database administrator
,Argentina,"Colleague, friend or family",Front-End Developer
34591.0,Austria,Online forum and resources,Data Scientist
,France,Coding Bootcamp,Front-End Developer
64860.0,Germany,Online forum and resources,Data Analyst
10032.0,Armenia,Online Courses or Certification,Fullstack Developer
,United States of America,Online forum and resources,Front-End Developer
90277.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
38916.0,Germany,Online forum and resources,Fullstack Developer
,Brazil,Online Courses or Certification,Mobile Developer
45156.0,Chile,"Colleague, friend or family",Back-End Developer
75631.0,Canada,School,Fullstack Developer
,India,School,Product Manager
95000.0,United States of America,School,Fullstack Developer
2832.0,Sri Lanka,Online forum and resources,Front-End Developer
38484.0,Brazil,Online forum and resources,Mobile Developer
116746.0,Germany,School,Engineer_ data
52950.0,Russian Federation,Online forum and resources,Back-End Developer
117229.0,Canada,Online forum and resources,Back-End Developer
137000.0,United States of America,Online forum and resources,Fullstack Developer
56874.0,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
28860.0,Hungary,School,Developer_ desktop or enterprise applications
48644.0,Italy,School,Back-End Developer
129259.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
5052.0,Tunisia,School,Fullstack Developer
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
17652.0,Colombia,Online forum and resources,Front-End Developer
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Mobile Developer
43239.0,Spain,Coding Bootcamp,Mobile Developer
23352.0,Cyprus,Online forum and resources,Front-End Developer
77568.0,Mexico,Online forum and resources,Back-End Developer
,Russian Federation,Books / Physical media,Engineering manager
41508.0,Germany,Online forum and resources,Academic researcher
108098.0,Germany,Online forum and resources,Fullstack Developer
120000.0,United States of America,Online forum and resources,Fullstack Developer
19236.0,Brazil,"Colleague, friend or family",Front-End Developer
116333.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
110000.0,United States of America,School,Fullstack Developer
80000.0,United States of America,School,Mobile Developer
,Belgium,School,Fullstack Developer
6600.0,Brazil,Online forum and resources,Developer_ desktop or enterprise applications
14088.0,Senegal,Online forum and resources,Front-End Developer
62697.0,Portugal,School,Front-End Developer
19546.0,India,Online forum and resources,Fullstack Developer
,Netherlands,School,Back-End Developer
48472.0,United Kingdom of Great Britain and Northern Ireland,School,Fullstack Developer
,Romania,Online forum and resources,Engineer_ data
,United States of America,Coding Bootcamp,Front-End Developer
17652.0,Colombia,School,Front-End Developer
97106.0,Norway,School,Front-End Developer
,Netherlands,Online forum and resources,Fullstack Developer
101868.0,Sweden,School,Back-End Developer
,Germany,Coding Bootcamp,DevOps specialist
19452.0,Cyprus,Online forum and resources,Front-End Developer
,Italy,Online forum and resources,Front-End Developer
,Nepal,School,Back-End Developer
39444.0,Turkey,Online forum and resources,Fullstack Developer
110000.0,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
13128.0,Ethiopia,Online forum and resources,Front-End Developer
64859.0,Spain,Online forum and resources,Fullstack Developer
112920.0,Switzerland,Other,Fullstack Developer
145800.0,United States of America,School,Front-End Developer
,United States of America,Online forum and resources,Developer_ desktop or enterprise applications
,Russian Federation,Online Courses or Certification,Back-End Developer
,India,Coding Bootcamp,Product Manager
,United States of America,Online forum and resources,Engineering manager
39726.0,Germany,Online forum and resources,Front-End Developer
18192.0,Czech Republic,Online forum and resources,Academic researcher
12252.0,Canada,School,Front-End Developer
9600.0,Ecuador,Online forum and resources,Front-End Developer
,Italy,Online forum and resources,Mobile Developer
400000.0,United States of America,Online forum and resources,Mobile Developer
19452.0,Turkey,Coding Bootcamp,Back-End Developer
22296.0,China,Online forum and resources,Fullstack Developer
,Belgium,School,Back-End Developer
71256.0,"Iran, Islamic Republic of...",Online forum and resources,Back-End Developer
1578.0,India,School,Back-End Developer
17100.0,"Iran, Islamic Republic of...",Online forum and resources,Developer_ desktop or enterprise applications
11232.0,Ghana,Online forum and resources,Mobile Developer
42816.0,Argentina,Online forum and resources,Fullstack Developer
,India,School,Mobile Developer
,Senegal,Online forum and resources,Mobile Developer
46727.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
95000.0,United States of America,Coding Bootcamp,Mobile Developer
19872.0,Bosnia and Herzegovina,Coding Bootcamp,Back-End Developer
43239.0,Germany,Online forum and resources,Fullstack Developer
100000.0,Canada,Books / Physical media,Developer_ desktop or enterprise applications
49160.0,Canada,Online forum and resources,Developer_ desktop or enterprise applications
140088.0,Israel,Online forum and resources,Mobile Developer
37816.0,Canada,Online forum and resources,Developer_ desktop or enterprise applications
43866.0,Canada,Online forum and resources,Back-End Developer
810732.0,Germany,Online forum and resources,Fullstack Developer
22176.0,Morocco,School,Mobile Developer
,Belarus,School,Back-End Developer
,Germany,School,Mobile Developer
70264.0,Germany,Online forum and resources,Developer_ desktop or enterprise applications
,Canada,Online forum and resources,Fullstack Developer
100000.0,United States of America,Coding Bootcamp,Fullstack Developer
,India,Coding Bootcamp,Fullstack Developer
,Canada,Online forum and resources,Mobile Developer
,India,School,Mobile Developer
200000.0,United States of America,Online forum and resources,Fullstack Developer
79413.0,Canada,Online forum and resources,Engineering manager
69154.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Fullstack Developer
62264.0,Estonia,Online forum and resources,Front-End Developer
,Czech Republic,Online forum and resources,Mobile Developer
140000.0,United States of America,Online forum and resources,Mobile Developer
49092.0,Sweden,Online forum and resources,DevOps specialist
33900.0,Colombia,School,Fullstack Developer
28536.0,France,Online forum and resources,Mobile Developer
34596.0,Malaysia,Online forum and resources,Fullstack Developer
77832.0,Germany,Online forum and resources,Developer_ desktop or enterprise applications
21552.0,Hungary,School,Fullstack Developer
45401.0,France,School,Front-End Developer
,India,"Colleague, friend or family",Back-End Developer
41597.0,Canada,Online forum and resources,Fullstack Developer
22701.0,Portugal,Online forum and resources,Mobile Developer
225000.0,United States of America,School,Front-End Developer
54480.0,Belgium,Coding Bootcamp,Front-End Developer
103408.0,United Kingdom of Great Britain and Northern Ireland,Other,Back-End Developer
,Netherlands,"Colleague, friend or family",Mobile Developer
25131.0,India,Online forum and resources,Fullstack Developer
57003.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Developer_ desktop or enterprise applications
13740.0,Brazil,Online forum and resources,Fullstack Developer
57072.0,Estonia,Online forum and resources,Fullstack Developer
115716.0,Canada,Online forum and resources,Developer_ desktop or enterprise applications
,Denmark,Books / Physical media,Mobile Developer
122000.0,United States of America,School,Fullstack Developer
11867.0,India,School,Fullstack Developer
56946.0,Italy,School,Mobile Developer
71093.0,United Kingdom of Great Britain and Northern Ireland,Books / Physical media,Mobile Developer
75936.0,Poland,"Colleague, friend or family",Front-End Developer
34632.0,Hungary,Online forum and resources,Developer_ desktop or enterprise applications
64260.0,Denmark,Online forum and resources,Database administrator
50806.0,Italy,School,Fullstack Developer
9600.0,Somalia,Coding Bootcamp,Mobile Developer
9360.0,Guatemala,Online forum and resources,Mobile Developer
19452.0,Greece,Online forum and resources,Fullstack Developer
,Costa Rica,Books / Physical media,Developer_ desktop or enterprise applications
51704.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Data Scientist
81432.0,Switzerland,Online forum and resources,Fullstack Developer
26652.0,Croatia,Online forum and resources,Back-End Developer
,Portugal,Online forum and resources,Academic researcher
78692.0,Germany,Online forum and resources,Front-End Developer
90000.0,United States of America,School,Back-End Developer
32568.0,Romania,School,Developer_ desktop or enterprise applications
1800000.0,United States of America,School,Data Scientist
,Ukraine,Coding Bootcamp,Back-End Developer
48936.0,Ukraine,Online forum and resources,Front-End Developer
84019.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Mobile Developer
,United States of America,Books / Physical media,Mobile Developer
5500000.0,United States of America,School,DevOps specialist
28536.0,France,Online forum and resources,Front-End Developer
26686.0,South Africa,Online forum and resources,Front-End Developer
,Poland,Online forum and resources,Fullstack Developer
36300.0,Canada,Online forum and resources,Fullstack Developer
