ConvertedCompYearly,Country,LearnCode,DevType
29832.0,Belgium,Online forum and resources,Academic researcher
40020.0,United Arab Emirates,Coding Bootcamp,Mobile Developer
,Croatia,School,Mobile Developer
20100.0,India,School,Fullstack Developer
90000.0,United States of America,Online forum and resources,Data Scientist
67000.0,United States of America,Online forum and resources,Mobile Developer
21676.0,India,School,Back-End Developer
101649.0,Switzerland,Other,Front-End Developer
17352.0,Bolivia,Coding Bootcamp,Front-End Developer
195000.0,United States of America,School,Back-End Developer
34380.0,Portugal,Online forum and resources,Back-End Developer
155111.0,United Kingdom of Great Britain and Northern Ireland,School,Product Manager
64860.0,Austria,School,Fullstack Developer
123228.0,France,Online forum and resources,Fullstack Developer
,India,Online forum and resources,Back-End Developer
,Spain,Online forum and resources,Back-End Developer
,United States of America,Online forum and resources,Fullstack Developer
90000.0,Canada,Online forum and resources,Front-End Developer
,Czech Republic,School,Data Scientist
28308.0,Russian Federation,Online forum and resources,DevOps specialist
,Austria,Other,Fullstack Developer
,Germany,Online forum and resources,Fullstack Developer
,Portugal,Online forum and resources,Mobile Developer
17508.0,Italy,School,Front-End Developer
280000.0,United States of America,Other,Back-End Developer
48644.0,France,Coding Bootcamp,Front-End Developer
54769.0,Sweden,Online forum and resources,Front-End Developer
45564.0,Poland,Online forum and resources,Developer_ desktop or enterprise applications
29000.0,United States of America,Online Courses or Certification,Academic researcher
170000.0,United States of America,Coding Bootcamp,Front-End Developer
19728.0,Turkey,"Colleague, friend or family",Front-End Developer
24132.0,Portugal,School,Fullstack Developer
54804.0,Ukraine,Coding Bootcamp,Front-End Developer
70000.0,United States of America,School,Front-End Developer
42432.0,South Africa,Other,Fullstack Developer
,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
97288.0,France,School,Front-End Developer
40000.0,United States of America,Online forum and resources,Mobile Developer
40212.0,Netherlands,Coding Bootcamp,Front-End Developer
90758.0,Canada,School,Fullstack Developer
15408.0,Pakistan,School,Front-End Developer
54224.0,United Kingdom of Great Britain and Northern Ireland,Other,Back-End Developer
81319.0,Switzerland,School,Fullstack Developer
,United States of America,Coding Bootcamp,Mobile Developer
1081.0,Austria,Coding Bootcamp,Fullstack Developer
85000.0,United States of America,School,Data Analyst
64859.0,Germany,Online forum and resources,Fullstack Developer
279774.0,Argentina,Other,Back-End Developer
62268.0,Netherlands,School,Mobile Developer
31750.0,Canada,Other,Fullstack Developer
,Germany,School,Developer_ QA or test
100000.0,United States of America,School,Fullstack Developer
92000.0,United States of America,Online forum and resources,Engineer_ data
34591.0,Spain,Online forum and resources,Back-End Developer
92500.0,Switzerland,Other,Fullstack Developer
135000.0,United States of America,School,Developer_ desktop or enterprise applications
71093.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Front-End Developer
,Italy,Online forum and resources,Fullstack Developer
42756.0,"Iran, Islamic Republic of...",Online Courses or Certification,Back-End Developer
150000.0,United States of America,School,Fullstack Developer
65000.0,United States of America,Online forum and resources,Mobile Developer
25944.0,Germany,Online forum and resources,Front-End Developer
,Czech Republic,Other,Front-End Developer
64859.0,Spain,"Colleague, friend or family",Data Scientist
48644.0,Ireland,Online forum and resources,Developer_ desktop or enterprise applications
2659212.0,Greece,Other,Front-End Developer
5028.0,India,School,Data Analyst
16416.0,India,Coding Bootcamp,Mobile Developer
,Netherlands,Other,Fullstack Developer
,India,Online forum and resources,Mobile Developer
35672.0,Italy,School,Fullstack Developer
,India,"Colleague, friend or family",Fullstack Developer
64860.0,Belgium,School,Data Scientist
,Canada,Online forum and resources,Front-End Developer
59454.0,Germany,School,Fullstack Developer
45396.0,France,Online forum and resources,Mobile Developer
,Uruguay,Online forum and resources,Fullstack Developer
,Netherlands,Online forum and resources,Fullstack Developer
19452.0,Germany,School,Front-End Developer
22212.0,Lebanon,"Colleague, friend or family",Back-End Developer
60000.0,Ukraine,Other,Mobile Developer
110000.0,United States of America,Online forum and resources,Back-End Developer
53832.0,Ukraine,School,Fullstack Developer
,United Kingdom of Great Britain and Northern Ireland,School,Back-End Developer
,Poland,Online forum and resources,Developer_ desktop or enterprise applications
18080.0,Turkey,School,Fullstack Developer
31128.0,Germany,Online forum and resources,Mobile Developer
96204.0,Brazil,School,Mobile Developer
5448.0,Pakistan,Online forum and resources,Mobile Developer
88640.0,France,School,Front-End Developer
20539.0,Spain,School,Developer_ desktop or enterprise applications
190000.0,United States of America,Other,Fullstack Developer
49765.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Developer_ desktop or enterprise applications
48644.0,France,School,Back-End Developer
57765.0,United States of America,School,Back-End Developer
40000.0,United States of America,Online forum and resources,Database administrator
37440.0,United States of America,"Colleague, friend or family",Fullstack Developer
83194.0,Canada,Online forum and resources,Front-End Developer
,South Korea,Coding Bootcamp,Developer_ desktop or enterprise applications
430000.0,United States of America,School,Fullstack Developer
11724.0,India,Online forum and resources,Mobile Developer
111814.0,Switzerland,School,Developer_ desktop or enterprise applications
,Germany,Other,Data Scientist
133000.0,United States of America,Coding Bootcamp,Front-End Developer
69183.0,Germany,Online forum and resources,Fullstack Developer
247764.0,Netherlands,Other,Back-End Developer
64737.0,Norway,Online forum and resources,Engineer_ data
47563.0,Italy,School,Mobile Developer
118908.0,Netherlands,School,Back-End Developer
,Egypt,"Colleague, friend or family",Front-End Developer
69183.0,France,School,Front-End Developer
,India,Online forum and resources,Front-End Developer
29320.0,India,Online forum and resources,Developer_ desktop or enterprise applications
,Canada,School,Developer_ QA or test
,Hungary,School,Engineer_ data
,Ukraine,Online forum and resources,Back-End Developer
70264.0,Austria,School,Back-End Developer
4008.0,Ukraine,Coding Bootcamp,Front-End Developer
,Portugal,Online Courses or Certification,Front-End Developer
51888.0,Serbia,Online forum and resources,Mobile Developer
64859.0,France,Other,Front-End Developer
59454.0,Italy,School,Mobile Developer
,Russian Federation,Other,Front-End Developer
78750.0,United States of America,Online forum and resources,Front-End Developer
36753.0,France,School,Engineer_ data
6981.0,India,Online forum and resources,Data Scientist
125000.0,United States of America,Online forum and resources,DevOps specialist
63854.0,United Kingdom of Great Britain and Northern Ireland,Online forum and resources,Mobile Developer
,United States of America,School,Front-End Developer
123984.0,India,Online forum and resources,Developer_ desktop or enterprise applications
25944.0,Greece,Online forum and resources,Fullstack Developer
2508.0,India,Online forum and resources,Mobile Developer
46482.0,Netherlands,School,Fullstack Developer
,India,School,Back-End Developer
7788.0,Pakistan,School,Front-End Developer
,Austria,Coding Bootcamp,Developer_ desktop or enterprise applications
,India,Coding Bootcamp,Front-End Developer
72000.0,United States of America,Online forum and resources,Fullstack Developer
152473.0,Switzerland,School,Developer_ desktop or enterprise applications
,Ukraine,Online forum and resources,Back-End Developer
35672.0,Italy,Online forum and resources,Data Scientist
,Belarus,Online forum and resources,Back-End Developer
85908.0,Sweden,School,Front-End Developer
27144.0,Romania,Online forum and resources,Engineer_ data
,Netherlands,"Colleague, friend or family",Developer_ desktop or enterprise applications
140000.0,United States of America,School,Mobile Developer
8376.0,India,Coding Bootcamp,Fullstack Developer
86478.0,Germany,Online forum and resources,Mobile Developer
,Spain,School,Fullstack Developer
45564.0,Poland,Online forum and resources,Mobile Developer
134028.0,India,School,Data Scientist
98000.0,United States of America,School,Developer_ embedded applications or devices
